,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
73,10/19/2019,vs Ursinus,W,1-0,"(8-4-2, 1-4-1)",1-4-1,126,"Chris Richards (8) (Matt Athanas-Linden , Taylan Akdag)",msoc
74,10/26/2019,at McDaniel,L,0-1,"(8-5-2, 1-5-1 CC)",1-5-1 CC,122,,msoc
75,10/30/2019,at Dickinson,L,1-3,"(8-6-2, 1-6-1)",1-6-1,70,"Chris Richards (0) (Mark Walter , Matt Athanas-Linden)",msoc
76,11/2/2019,vs Washington College,W,2-1,"(9-6-2, 2-6-1)",2-6-1,189,Gnim Bazim (2) (Matt Athanas-Linden)  Mark Winter (2) (Taylan Akdag),msoc
77,11/16/2019,vs Marymount (Va.),W,9-1,(10-6-2),,109,"Zach Cimring (2) (Taylan Akdag , Chris Richards)  Matt Athanas-Linden (3) (Chris Richards)  Josh Bordwick (3) Gnim Bazim (3) (Mark Winter)  Chris Richards (10) Taylan Akdag (3) Taylan Akdag (4) (Kevin Hagan , Matt Athanas-Linden)  Cameron Miller (2) (Mark Winter)  Cameron Miller (3) (Ted Kawoczka)",msoc
78,11/17/2019,vs New York U.,W,1-0,(11-6-2),,103,Chris Richards (11) (Jordan Cimring),msoc
79,11/23/2019,vs Widener,W,1-0,(12-6-2),,0,Matt Athanas-Linden (0),msoc
80,11/24/2019,vs Kean,W,3-0,(13-6-2),,59,"Zach Cimring (2) (Kevin Hagan)  Matt Athanas-Linden (3) (Kevin Hagan)  Brandin Osborne (1) (Mark Winter , Taylan Akdag)",msoc
81,8/31/2018,vs Susquehanna,W,2-1,(1-0-0),,0,"Mark Winter (1) (Kevin Irving)  Kevin Hagan (1) (Christian Puccio , Stephen Carton)",msoc
82,9/5/2018,at Immaculata Univ.,W,2-0,(2-0),,0,Kevin Irving (1) Christian Puccio (1),msoc
83,9/8/2018,at Centenary,W,3-0,(3-0),,150,"Matt Athanas-Linden (1) (Kevin Irving)  Mark Winter (2) Josh Bordwick (1) (Stephen Carton , Kevin Irving)",msoc
84,9/12/2018,vs Drew,L,2-3,(3-1),,100,"Jordan Cimring (1) (Josh Bordwick , Christian Puccio)  Kevin Hagan (2) (Matt Athanas-Linden)",msoc
